name,location,releaseYear,rating,length,genre,Streaming Service,serverId
Beyond Evil,,2021,0,1 Season,"Crime TV Shows, International TV Shows, TV Thrillers",Netflix,0
Elite Short Stories: Nadia Guzmán,,2021,0,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix,0
Power Rangers Dino Fury,United States,2021,0,1 Season,Kids' TV,Netflix,0
Rhyme Time Town,,2021,0,2 Seasons,Kids' TV,Netflix,0
The American Bible Challenge,United States,2014,0,1 Season,Reality TV,Netflix,0
Elite Short Stories: Guzmán Caye Rebe,,2021,0,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix,0
Metallica: Some Kind of Monster,United States,2014,0,1 Season,TV Shows,Netflix,0
Love (ft. Marriage and Divorce),South Korea,2021,0,2 Seasons,"International TV Shows, TV Dramas",Netflix,0
LEGO Friends: The Power of Friendship,Denmark,2016,0,2 Seasons,Kids' TV,Netflix,0
Lupin,"France, United States",2021,0,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix,0
Trese,"Philippines, Singapore, Indonesia",2021,0,1 Season,"Anime Series, Crime TV Shows, TV Horror",Netflix,0
Locombianos,Colombia,2021,0,1 Season,"International TV Shows, Spanish-Language TV Shows, Stand-Up Comedy & Talk Shows",Netflix,0
"Fresh, Fried & Crispy",United States,2021,0,1 Season,Reality TV,Netflix,0
L.A.’s Finest,United States,2021,0,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Comedies",Netflix,0
